_id,Country,Project Name,Type,Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country_1,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,the_geom
243,Vietnam,Ha Tay,Hydro,Operational,9,2015,,,,,,,,,,,14.2401,108.106,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000003E26529ACD065B406AFAEC80EB7A2C40
244,Vietnam,Ham Thuan - Da Mi,Hydro,Operational,475,2001,,,,,,,,,,,11.336,107.935,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E6100000BCCCB051D6FB5A403ACAC16C02AC2640
245,Vietnam,Hàm Thuận – Đa Mi Hydroelectric power stations,Hydro,Operational,300,2001,Vietnam,EVN (Vietnam) Da Nhim - Ham Thuan Da Mi Hydropower Comapny,,,Vietnam,Construction Corporation No. 1 JSC,Vietnam,Bình Thuận,Hàm Thuận Bắc,Dong Nai,11.3261,107.934,,965000,Sponsor Website,https://www.cc1jsc.com.vn/du-an/nha-may-thuy-dien-ham-thuan-da-mi.html,http://dhd.com.vn/c3/dao-tao/img-srcimagesicon18png-classicon-stylewidth13px-bNha-may-thuy-dien-Ham-Thuanb-6-847.aspx,0101000020E6100000EBE2361AC0FB5A4010CCD1E3F7A62640
246,Vietnam,Hang Dong A,Hydro,Operational,16,2015,,,,,,,,,,,21.3129,104.477,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020,0101000020E61000003B8BDEA9801E5A409E616A4B1D503540
247,Vietnam,Hang Dong A1,Hydro,Operational,8.4,2012,,Xuan Thien Trading Construction Investment and Development Co,,,,,Vietnam,Sơn La,Bắc Yên,Black-Li Xian,21.2658,104.541,,,Open Development Vietnam,https://vietnam.opendevelopmentmekong.net/dataset/?id=danh-sach-cac-th-y-di-n-t-i-vi-t-nam-tinh-d-n-thang-06-2016&search_query=P3BhZ2U9Mg==,,0101000020E61000009F3C2CD49A225A40DC4603780B443540
248,Vietnam,Hat Liu,Hydro,Operational,5,2014,,Yen Bai Electricity Investment and Developmet JSC.(FDI),,,,,Vietnam,Yên Bái,Trạm Tấu,Ngo Tha,21.5067,104.362,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/hat-liu-Hydropower,,0101000020E61000001EA7E8482E175A4019E25817B7813540
249,Vietnam,Ho Bon,Hydro,Operational,18,2012,,Forth Lake Hydropower JSC,,,,,Vietnam,Yên Bái,Mù Căng Chải,Black-Li Xian,21.8778,103.942,,73000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ho-bon-Hydropower,,0101000020E61000003F355EBA49FC5940C66D3480B7E03540
250,Vietnam,Ho Ho,Hydro,Operational,14,2010,,Nothern 1 Electricity Investment and Development JSC,,,,,Vietnam,Quảng Bình,Tuyên Hóa,Ngan Pho-Ngan Truoi,18.0464,105.833,,55000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ho-ho-Hydropower,,0101000020E6100000211FF46C56755A40CE88D2DEE00B3240
251,Vietnam,Ho Nui Coc,Hydro,Operational,1.89,2009,Vietnam,Nui Coc Lake Hydropower JSC.,,,,,Vietnam,Thái Nguyên,Thái Nguyên,Song Cong,21.5565,105.73,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ho-nui-coc-Hydropower,,0101000020E61000001F85EB51B86E5A405839B4C8768E3540
252,Vietnam,Hoa Binh (Nhà máy Thủy điện Hoà Bình),Hydro,Operational,1920,1994,Vietnam,EVN (Vietnam),,,,,Vietnam,Hoà Bình,Hòa Bình,Black-Li Xian,20.8069,105.326,,,Wikipedia,https://en.wikipedia.org/wiki/H%C3%B2a_B%C3%ACnh_Dam,,0101000020E6100000BE9F1A2FDD545A404A29E8F692CE3440
